TEAM1,比分,TEAM2,地图,比赛日期,DEMO链接
"but one day","13:8","那个男人在这","远古遗迹","2026-07-19","https://pvp-demo-sz.oss-cn-shenzhen.aliyuncs.com/demo/match/3878429584_1000003238.dem?Expires=1786192770&amp;OSSAccessKeyId=LTAI4FdozZjF98JnnYvJRUeQ&amp;response-content-disposition=attachment%3Bfilename%3D3878429584_1000003238.dem.zip&amp;Signature=4FoGUqem9BsXkmTI4Gpg4lQwg8U%3D"
"蹬峰造极2.0","4:13","Null Pressure","炙热沙城Ⅱ","2026-07-19","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3878439696_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106310%3B1786192770%26q-key-time%3D1786106310%3B1786192770%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3De8c0d4482fd282136c1fc9dbd0bbbf4ec8d92daf&amp;response-content-disposition=attachment%3Bfilename%3D3878439696_1000003238.dem.zip"
"打赢我的是向日葵","13:9","本质好人","炙热沙城Ⅱ","2026-07-19","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3879648272_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106044%3B1786192504%26q-key-time%3D1786106044%3B1786192504%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3D0eda6a319a6bfe8a242ac101b2c3fb8e4b06ec1a&amp;response-content-disposition=attachment%3Bfilename%3D3879648272_1000003238.dem.zip"
"外包杀手","13:2","那个男人在这","炙热沙城Ⅱ","2026-07-19","https://pvp-demo-sz.oss-cn-shenzhen.aliyuncs.com/demo/match/3879659280_1000003238.dem?Expires=1786192503&amp;OSSAccessKeyId=LTAI4FdozZjF98JnnYvJRUeQ&amp;response-content-disposition=attachment%3Bfilename%3D3879659280_1000003238.dem.zip&amp;Signature=XE3W%2BfpWUu4S2o7dC3dDm6uN9nQ%3D"
"BackToBasic","8:13","外包杀手","远古遗迹","2026-07-22","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3891215120_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106310%3B1786192770%26q-key-time%3D1786106310%3B1786192770%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3D7a6b226e426d572cb2433f2d003262d93ef1c9a5&amp;response-content-disposition=attachment%3Bfilename%3D3891215120_1000003238.dem.zip"
"来杯好茶摇一摇","11:13","华尔孔Hualcons","荒漠迷城","2026-07-22","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3891208080_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106310%3B1786192770%26q-key-time%3D1786106310%3B1786192770%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3Df5c30a4c1595133a241623288397086d4b8510b5&amp;response-content-disposition=attachment%3Bfilename%3D3891208080_1000003238.dem.zip"
"打赢我们是给","9:13","五个外包","炼狱小镇","2026-07-22","https://pvp-demo-sz.oss-cn-shenzhen.aliyuncs.com/demo/match/3891276048_1000003238.dem?Expires=1786192770&amp;OSSAccessKeyId=LTAI4FdozZjF98JnnYvJRUeQ&amp;response-content-disposition=attachment%3Bfilename%3D3891276048_1000003238.dem.zip&amp;Signature=cRUbCFOur5bqc6b%2BjOsrmLqQSHI%3D"
"打赢我的是向日葵","10:13","FAGMajor11","远古遗迹","2026-07-22","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3891401744_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106043%3B1786192503%26q-key-time%3D1786106043%3B1786192503%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3D56c0c33ecd7722da7f4dfba804a5d017f567ab22&amp;response-content-disposition=attachment%3Bfilename%3D3891401744_1000003238.dem.zip"
"T2爆了","13:4","来杯好茶摇一摇","炙热沙城Ⅱ","2026-07-22","https://pvp-demo-sz.oss-cn-shenzhen.aliyuncs.com/demo/match/3891574032_1000003238.dem?Expires=1786192770&amp;OSSAccessKeyId=LTAI4FdozZjF98JnnYvJRUeQ&amp;response-content-disposition=attachment%3Bfilename%3D3891574032_1000003238.dem.zip&amp;Signature=gji87FneixPKmeR9oiC68MLzMKY%3D"
"峰狂星期四","13:0","打赢我们是给","远古遗迹","2026-07-22","https://pvp-demo-cd.oss-cn-chengdu.aliyuncs.com/demo/match/3891740944_1000003238.dem?Expires=1786192770&amp;OSSAccessKeyId=LTAI4FdozZjF98JnnYvJRUeQ&amp;response-content-disposition=attachment%3Bfilename%3D3891740944_1000003238.dem.zip&amp;Signature=M%2FcdeBs7dkOPJxNZWP5wIUCkZXQ%3D"
"hw邱邱畅","3:13","来杯好茶摇一摇","核子危机","2026-07-24",""
"没有队名","10:13","STORMGAME","远古遗迹","2026-07-24","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3898432016_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106307%3B1786192767%26q-key-time%3D1786106307%3B1786192767%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3Ddc083e8c99ce731a4a032472f3683ad0d6f2ff7b&amp;response-content-disposition=attachment%3Bfilename%3D3898432016_1000003238.dem.zip"
"hw邱邱畅","13:7","来杯好茶摇一摇","炙热沙城Ⅱ","2026-07-24",""
"峰狂星期四","13:16","HW Major TEAM 1","炙热沙城Ⅱ","2026-07-24","https://pvp-demo-hz.oss-cn-hangzhou.aliyuncs.com/demo/match/3898433040_1000003238.dem?Expires=1786192767&amp;OSSAccessKeyId=LTAI4FdozZjF98JnnYvJRUeQ&amp;response-content-disposition=attachment%3Bfilename%3D3898433040_1000003238.dem.zip&amp;Signature=oRXUjpSPHnUIpA4DuQXXecekRXY%3D"
"hw邱邱畅","13:9","来杯好茶摇一摇","荒漠迷城","2026-07-24",""
"本质好人","13:5","步枪大队","远古遗迹","2026-07-26","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3905202576_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106043%3B1786192503%26q-key-time%3D1786106043%3B1786192503%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3De1ef30b5acf9ba97f91159947ae8998e433da681&amp;response-content-disposition=attachment%3Bfilename%3D3905202576_1000003238.dem.zip"
"传奇捕峰人","5:13","打不过我的是GAY","炙热沙城Ⅱ","2026-07-26","https://pvp-demo-hz.oss-cn-hangzhou.aliyuncs.com/demo/match/3905202064_1000003238.dem?Expires=1786192767&amp;OSSAccessKeyId=LTAI4FdozZjF98JnnYvJRUeQ&amp;response-content-disposition=attachment%3Bfilename%3D3905202064_1000003238.dem.zip&amp;Signature=EYWmAfrSczOPObJK5q1O8DyxIGk%3D"
"T2爆了","13:4","华尔孔Hualcons","荒漠迷城","2026-07-26","https://pvp-demo-sz.oss-cn-shenzhen.aliyuncs.com/demo/match/3905341200_1000003238.dem?Expires=1786192766&amp;OSSAccessKeyId=LTAI4FdozZjF98JnnYvJRUeQ&amp;response-content-disposition=attachment%3Bfilename%3D3905341200_1000003238.dem.zip&amp;Signature=IJvGM4ilpahb3VG9Ahx1IPC2UOc%3D"
"打赢我的是向日葵","11:13","步枪大队","阿努比斯","2026-07-26","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3905312272_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106043%3B1786192503%26q-key-time%3D1786106043%3B1786192503%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3D7b8e2f8249b9e2ab01b0dbfcf2e14e68176cca5a&amp;response-content-disposition=attachment%3Bfilename%3D3905312272_1000003238.dem.zip"
"步枪大队","8:13","本质好人","炙热沙城Ⅱ","2026-07-26","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3905468816_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106043%3B1786192503%26q-key-time%3D1786106043%3B1786192503%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3D7fe88861ae8eab1a0ef886857c59a1fe124fb28e&amp;response-content-disposition=attachment%3Bfilename%3D3905468816_1000003238.dem.zip"
"那个男人在这","1:13","没有队名","荒漠迷城","2026-07-29","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3919177872_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106306%3B1786192766%26q-key-time%3D1786106306%3B1786192766%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3D7a904d868b45e147cddfb15bfd254bc25c82748d&amp;response-content-disposition=attachment%3Bfilename%3D3919177872_1000003238.dem.zip"
"hw邱邱畅","13:6","FAGMajor11","远古遗迹","2026-07-29","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3919319184_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106306%3B1786192766%26q-key-time%3D1786106306%3B1786192766%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3Dba86e99b84a2a8a878aa8ad05a4e5018f7fe9745&amp;response-content-disposition=attachment%3Bfilename%3D3919319184_1000003238.dem.zip"
"五个外包","9:13","打不过我的是GAY","炼狱小镇","2026-07-29","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3919418000_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106306%3B1786192766%26q-key-time%3D1786106306%3B1786192766%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3D9531880d181e67a0a2a7738ba532b650757c8697&amp;response-content-disposition=attachment%3Bfilename%3D3919418000_1000003238.dem.zip"
"华尔孔Hualcons","5:13","FAGMajor11","炙热沙城Ⅱ","2026-07-29","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3920114704_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106043%3B1786192503%26q-key-time%3D1786106043%3B1786192503%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3Dcde4cc315f29869470c4311bec016e442c94511e&amp;response-content-disposition=attachment%3Bfilename%3D3920114704_1000003238.dem.zip"
"离冠只差一把","5:13","T2爆了","炙热沙城Ⅱ","2026-07-30","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3924114192_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106043%3B1786192503%26q-key-time%3D1786106043%3B1786192503%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3D826d8ac2e3f94175e07c9b3822981ba44597b9a8&amp;response-content-disposition=attachment%3Bfilename%3D3924114192_1000003238.dem.zip"
"T2爆了","13:3","FAGMajor11","荒漠迷城","2026-07-30","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3924248336_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106042%3B1786192502%26q-key-time%3D1786106042%3B1786192502%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3D8d748cbeff7d5294c2255a9b49878be571062fd1&amp;response-content-disposition=attachment%3Bfilename%3D3924248336_1000003238.dem.zip"
"HWmajor11_Team5","13:16","六辣子夹馍","远古遗迹","2026-08-01","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3933074832_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106042%3B1786192502%26q-key-time%3D1786106042%3B1786192502%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3D4751558bf97945bd26f8a6ae2ee3c763f4641006&amp;response-content-disposition=attachment%3Bfilename%3D3933074832_1000003238.dem.zip"
"STORMGAME","5:13","BackToBasic","死城之谜","2026-08-02","https://pvp-demo-hz.oss-cn-hangzhou.aliyuncs.com/demo/match/3936555152_1000003238.dem?Expires=1786192766&amp;OSSAccessKeyId=LTAI4FdozZjF98JnnYvJRUeQ&amp;response-content-disposition=attachment%3Bfilename%3D3936555152_1000003238.dem.zip&amp;Signature=swOb%2BIKXWzeu8aTy2eR1czab4B0%3D"
"步枪大队","8:13","来杯好茶摇一摇","荒漠迷城","2026-08-02","https://pvp-demo-sz.oss-cn-shenzhen.aliyuncs.com/demo/match/3936586128_1000003238.dem?Expires=1786192765&amp;OSSAccessKeyId=LTAI4FdozZjF98JnnYvJRUeQ&amp;response-content-disposition=attachment%3Bfilename%3D3936586128_1000003238.dem.zip&amp;Signature=8IDMNghxV5DF%2FihcXxjEgo8RmuI%3D"
"没有队名","13:1","HWmajor11_Team5","荒漠迷城","2026-08-02","https://pvp-demo-sz.oss-cn-shenzhen.aliyuncs.com/demo/match/3936546448_1000003238.dem?Expires=1786192766&amp;OSSAccessKeyId=LTAI4FdozZjF98JnnYvJRUeQ&amp;response-content-disposition=attachment%3Bfilename%3D3936546448_1000003238.dem.zip&amp;Signature=8w%2B5lrNalQsyJCGGvk%2FggBz4hRo%3D"
"峰狂星期四","13:9","泥头车3.0","远古遗迹","2026-08-02","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3936617616_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106305%3B1786192765%26q-key-time%3D1786106305%3B1786192765%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3Dc9ce74ca77e96980f55be140c89679b259447a19&amp;response-content-disposition=attachment%3Bfilename%3D3936617616_1000003238.dem.zip"
"离冠只差一把","11:13","来杯好茶摇一摇","炙热沙城Ⅱ","2026-08-02","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3936688016_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106305%3B1786192765%26q-key-time%3D1786106305%3B1786192765%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3D9b30963038db94b2d629f209be3d16a3e37bba64&amp;response-content-disposition=attachment%3Bfilename%3D3936688016_1000003238.dem.zip"
"打赢我们是给","9:13","Null Pressure","荒漠迷城","2026-08-02","https://pvp-demo-hz.oss-cn-hangzhou.aliyuncs.com/demo/match/3936797200_1000003238.dem?Expires=1786192765&amp;OSSAccessKeyId=LTAI4FdozZjF98JnnYvJRUeQ&amp;response-content-disposition=attachment%3Bfilename%3D3936797200_1000003238.dem.zip&amp;Signature=vh8jVig0txy%2B0picMobI8CaJg4c%3D"
"STORMGAME","13:11","外包杀手","远古遗迹","2026-08-05","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3951327248_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106305%3B1786192765%26q-key-time%3D1786106305%3B1786192765%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3D56ef3d2f36946a43532dbe316c69c75f2372813c&amp;response-content-disposition=attachment%3Bfilename%3D3951327248_1000003238.dem.zip"
"五个外包","13:8","蹬峰造极2.0","炼狱小镇","2026-08-05","https://pvp-demo-sh-1301671788.wmpvp.com/demo/match/3951423888_1000003238.dem?sign=q-sign-algorithm%3Dsha1%26q-ak%3DAKIDkIabMq3zf3A0YppYzA4g16uTmoZ3GCrF%26q-sign-time%3D1786106305%3B1786192765%26q-key-time%3D1786106305%3B1786192765%26q-header-list%3Dhost%26q-url-param-list%3Dresponse-content-disposition%26q-signature%3Df39f48f180a91f4ec6fe43bb72003c193eb12a20&amp;response-content-disposition=attachment%3Bfilename%3D3951423888_1000003238.dem.zip"
